Brain sample,Fold Region,Which average difference,Comparison_number,Bok_1929_gyri_to_wall_thickness_difference,Bok_1929_sulci_to_wall_thickness_difference,Lamina,,
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,18,14,-7,VI,-14,7
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,19,-4,6,I,4,-6
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,19,-7,11,II,7,-11
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,19,-4,8,III,4,-8
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,19,-16,-17,IV,16,17
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,19,0,-1,V,0,1
Very curved,"R. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,19,27,-1,VI,-27,1
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri1_minus_Sulci1,20,-3,41,I,3,-41
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri1_minus_Sulci1,20,-3,12,II,3,-12
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri1_minus_Sulci1,20,-4,5,III,4,-5
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri1_minus_Sulci1,20,-2,3,IV,2,-3
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri1_minus_Sulci1,20,2,-7,V,-2,7
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri1_minus_Sulci1,20,7,-13,VI,-7,13
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,21,-12,32,I,12,-32
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,21,-7,7,II,7,-7
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,21,-28,-14,III,28,14
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,21,-6,0,IV,6,0
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,21,15,5,V,-15,-5
Very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,21,26,2,VI,-26,-2
Very curved,"R. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,22,-3,24,I,3,-24
Very curved,"R. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,22,-5,13,II,5,-13
Very curved,"R. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,22,-7,-4,III,7,4
Very curved,"R. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,22,1,-4,IV,-1,4
Very curved,"R. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,22,4,-2,V,-4,2
Very curved,"R. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,22,7,-3,VI,-7,3
Very curved,"R. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,23,,23,I,0,-23
Very curved,"R. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,23,,11,II,0,-11
Very curved,"R. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,23,,-1,III,0,1
Very curved,"R. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,23,,-4,IV,0,4
Very curved,"R. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,23,,-3,V,0,3
Very curved,"R. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,23,,-3,VI,0,3
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,24,-2,39,I,2,-39
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,24,-1,5,II,1,-5
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,24,-1,7,III,1,-7
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,24,-2,0,IV,2,0
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,24,0,-8,V,0,8
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,24,4,-4,VI,-4,4
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,25,-6,37,I,6,-37
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,25,-4,3,II,4,-3
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,25,-18,5,III,18,-5
